Country,Popularity Ranking,Quality Ranking,Value Ranking
Australia,19,15,198
Bahamas,106,N/A,N/A
Bangladesh,229,68,259
Brazil,106,37,447
Canada,20,18,627
China,21,14,763
Colombia,143,50,269
Ecuador,154,N/A,N/A
Egypt,96,44,168
France,53,25,283
Germany,49,23,371
Ghana,288,N/A,N/A
Greece,33,24,104
Hong Kong,8,8,168
India,108,34,586
Indonesia,124,47,195
Iran,126,48,237
Israel,46,22,72
Italy,40,26,198
Jamaica,250,N/A,N/A
Japan,129,35,406
Jordan,115,25,136
Kenya,153,26,188
Kuwait,235,N/A,N/A
Malaysia,103,52,220
Mexico,113,36,304
Mongolia,97,N/A,N/A
Nepal,416,N/A,N/A
Netherlands,125,N/A,N/A
Nigeria,117,15,436
Norway,203,N/A,N/A
Pakistan,75,26,273
Peru,89,51,124
Philippines,42,21,123
Russia,49,16,213
Saudi Arabia,360,67,519
Singapore,23,22,120
South Korea,34,21,531
Spain,45,24,327
Sri Lanka,313,N/A,N/A
Sweden,304,N/A,N/A
Taiwan,39,19,329
Thailand,41,24,215
Turkey,48,27,241
Ukraine,301,N/A,N/A
United Kingdom,34,21,501
Venezuela,249,N/A,N/A
Vietnam,241,46,459
