Country,Popularity Ranking,Quality Ranking,Value Ranking,Student number
Philippines,42,21,123,1
Bahamas,106,N/A,N/A,1
Bangladesh,229,68,259,1
Ghana,288,N/A,N/A,1
Greece,33,24,104,1
Hong Kong,8,8,168,1
Iran,126,48,237,1
Israel,46,22,72,1
Jamaica,250,N/A,N/A,1
Japan,129,35,406,1
Jordan,115,25,136,1
Kuwait,235,N/A,N/A,1
Malaysia,103,52,220,1
Mongolia,97,N/A,N/A,1
Nepal,416,N/A,N/A,1
Netherlands,125,N/A,N/A,1
Pakistan,75,26,273,1
Singapore,23,22,120,1
Sri Lanka,313,N/A,N/A,1
Taiwan,39,19,329,1
Turkey,48,27,241,1
Ukraine,301,N/A,N/A,1
United Kingdom,34,21,501,1
Norway,203,N/A,N/A,2
Sweden,304,N/A,N/A,2
Ecuador,154,N/A,N/A,3
Venezuela,249,N/A,N/A,3
Kenya,153,26,188,5
Peru,89,51,124,6
Egypt,96,44,168,8
Colombia,143,50,269,10
Indonesia,124,47,195,10
Vietnam,241,46,459,15
Mexico,113,36,304,19
Russia,49,16,213,20
Brazil,106,37,447,23
France,53,25,283,23
Saudi Arabia,360,67,519,23
Spain,45,24,327,24
Germany,49,23,371,25
Italy,40,26,198,25
Nigeria,117,15,436,27
Thailand,41,24,215,28
Australia,19,15,198,37
Canada,20,18,627,219
South Korea,34,21,531,331
India,108,34,586,429
China,21,14,763,"3,260"
